shopid,itemid,cmtid,author_username,rating_star,comment,Quality,Price,Delivery,Service
1324654185,27662302097,31501618657,n*****3,1,"Đặt máy màu xanh, shop giao màu hồng. Nhắn tin hỏi shop không thấy phản hồi. Mặc dù đã nhắn tin hỏi 2 lần.  Tính không đánh giá mà thấy không tôn trọng khách hàng.",,,,
1324654185,27662302097,31371556256,nguyenminhchau0504,1,"Giao sai màu,pin sạc đầy chỉ quạt được 1 lúc. Đặt quạt 10000mha nhưng giao quạt pin thấp hơn",,,,
1324654185,27662302097,94630128516,mwo31__5a4,1,Gió:Hàn sai cực mô tơ nên quạt bị quay ngược chiều không mát,,,,
1324654185,27662302097,61235225845,ncmcjcux,1,Đm bon lừa đảo . Pin có 800 mà nó quảng cái 10000.,,,,
1324654185,27662302097,30086144188,10avzxpakt,1,Chất lượng sản phẩm:khác màu  Mình mua quạt tích điện mà ko tích điện,,,,
1324654185,27662302097,31598971585,voquocvu92,1,"Đặt hàng 10000 MHA mà giao 5000, 2 cái giá tiền khác nhau, shop làm ăn gian dối, đề nghị trả lại tiền chênh lệch",,,,
1324654185,27662302097,94902204386,luuluu1404,1,. Có năm mức độ và đèn như shop mô tả. Quạt tạm kg có mạnh . Mua loại pin 10000mha mà shop giao 800mha.,,,,
1324654185,27662302097,79920071985,duyleagu,1,"Quạt chổi than chứ không phải quạt không chổi than, mới hơn tuần đã hỏng motor rồi, trong khi dùng rất ít. Mà quan trọng là động cơ chổi than mà để trên mô tả là không chổi than.",,,,
1324654185,27662302097,85750800924,duythinh1801,1,Đặt màu trắng giao màu tím,,,,
1324654185,27662302097,76569748607,phmanhtun040,1,Sản phẩm để 10000mah nhưng giao có 800mah là sao vậy sp bao nhiêu thì để bao nhiêu đi lừa gạt khách hàng trắng trợn,,,,
1324654185,27662302097,88186714819,n*****6,1,Độ bền:chx bt Gió:5 cấp độ  Shop l đặt trắng giao hồng,,,,
1324654185,27662302097,75200868103,trasuatienthanh,1,Chất lượng sản phẩm:Pin dùng đc chút là hết pin khoảng 30phut dùng lien tục. khi đã sạc đầy,,,,
1324654185,27662302097,32265938511,nhungnhung101,1,Quạt k êm tí nào sạc đầy sài tầm 1 tiếng hết mẹ pin rồi,,,,
1324654185,27662302097,94469120596,kreb4yckg1,1,Gió:mức 1 như không bật Độ bền:gt thì 16 tiếng còn dùng được 1h36 phút  Ko ok ko nên mua chả uy tín tỉ nào thừa ko mua,,,,
1324654185,27662302097,31536116034,npttjavgh7,1,Đúng với mô tả:ko đúng so với mô tả Chất lượng sản phẩm:chỉ bằng 1phần10 so với chất lương,,,,
1324654185,27662302097,31421849863,kenhtattoo,1,Treo đầu dê bán thịt lừa.. ghi là động cơ ko chổi than. Nhưng nhận thì loại mô tơ rẻ tiền. Chọn loại dung lượng 10000mah nhưng thực tế chắc chưa dc 1k mah. Quạt thì yếu.. ko có hình vì thấy tệ quá cho hàng xóm rồi. Tệ,,,,
1324654185,27662302097,20147267795,daomongduyen,1,"Chất lượng sản phẩm:ko tốt Đúng với mô tả:ko đúng  Ko nên mua nha mọi người, test quạt thử nhưng chỉ sử dụng đc 2g là hết pin, nt nhờ shop hỗ trợ thì cứ né tránh, mình để mấy ngày mới lên đánh giá shop, mong đây là một kinh nghiệm",,,,
1324654185,27662302097,40949786257,chautr665,1,Giao sai mẫu 👎🏻,,,,
1324654185,27662302097,41374554238,p*****4,1,"Sử dụng được 02 lần bị cháy bảng mạch, phản ảnh sản phẩm cả ngày k thấy phản hồi.",,,,
1324654185,27662302097,31416304840,nguyenthiduyen19841985,1,Giao Ko đúng màu,,,,
1324654185,27662302097,74876214199,thuocbachaugiang01,1,Đúng với mô tả:quá tệ xài dc 1 tuần hư,,,,
1324654185,27662302097,77088578368,ngoc_diem26,1,"Đúng với mô tả:không Chất lượng sản phẩm:tệ  Shop làm ăn thất đức, không có uy tín, đặt trắng giao xanh, lúc đặt có ghi chú hẳn rồi là giao đúng màu, đợi thì lâu. Để vị trí ở TPHCM, nhưng đơn giao đi lại từ HN, đặt đơn một đằng giao một nẻo, treo đầu dê bán thịt c.h.ó",,,,
1324654185,27662302097,74664575750,dieuhanq,1,Chất lượng sản phẩm:quá tệ  hình ảnh và video chỉ mang tính chất nhận xu..  quạt quá tệ sạc đầy sài chưa đc nữa tiếng đã hết pin rồi..  thua xa cái năm ngoái mình đặt..,,,,
1324654185,27662302097,91577576909,d88mgddot6,1,"Hết màu thì nói, đặt màu này giao màu khác",,,,
1324654185,27662302097,31854614063,saobanggiay,1,Sai sản phẩm; CSKH hời hợt,,,,
1324654185,27662302097,70226151324,itjyp113y7,1,Giao không đúng với mẫu mã đã đặt hàng,,,,
1324654185,27662302097,17177964086,phcthunnguyn053,1,Chất lượng kém ko có tem ko nguồn góc,,,,
1324654185,27662302097,31415234296,truong1206,1,"Mua màu xanh giao màu hồng, mua pin 10000 mha giao máy 5000mha shop làm ăn ko y tín chước khi mua hàng xem kỹ lại shop này, giao hàng ko đúng như quản cáo",,,,
